Article Title,Article Text,Article Date,Article Author
"Qube Technologies, Ember Resources Receive Regulatory Approval For Fixed Methane Sensor Monitoring | Daily Oil Bulletin ","
Qube Technologies Inc. has received its second approval from the Alberta Energy Regulator (AER) for an Alternative Fugitive Emissions Monitoring Program (Alt-FEMP) to conduct leak detection and repair (LDAR) using continuous monitoring technology.
Qube says it is currently the only technology provider to have received regulatory approval for a continuous monitoring technology in North America. Qube provides oil and gas producers with a low-cost solution using fixed sensors that can continuously monitor for leaks on-site. Data collected by these sensors is then analyzed using artificial intelligence to rapidly infer leak locations, quantity, and type, supplying operators with critical information that enables them to reduce emissions
Qube has collaborated with Ember Resources Inc. and Highwood Emissions Management to demonstrate emissions reduction equivalence through its continuous monitoring solution. Ember is an Alberta-based company that specializes in sustainable shallow gas production and places importance on environmental stewardship.
","Wednesday, September 29, 2021, 6:31 AM MDT", 
Opportunities For All At The Global EnergyTech Awards 2021 | Daily Oil Bulletin ,"
With eight categories and a global reach, these brand-new awards promise to open doors for anyone ready to step forward. The inaugural Publicis Sapient Global EnergyTech Awards are open for entries until the end of September and aim to celebrate the new innovations and developments within the energy industry.
We examine just what the judges are looking for and how startups can use this opportunity to catch the eye of major energy organizations and win invaluable support from mentors within Publicis Sapient.
The categories cover a broad range of the digital spectrum, from EV solutions to smart networks to mobile experiences. With prizes including promotion in Wired Magazine and at VivaTech 2022 as well as the mentoring, the introductions and the kudos itself, there’s enough of an incentive for entrants. But which category to enter? Here’s the run down.
Best Customer Omni-channel Experience
Whether it’s business to consumer, business to business or business to employee, this category is after impressive customer experiences that stand out above the rest. As with many industries, in the energy market a good brand experience can create the kind of loyalty that makes the difference between success and failure. Judges will look for how entrants are using new technologies, the uniqueness of the idea and how it delivers against business objectives. Bonus points if you touch on sustainability.
Best CleanTech 
If you have a technology or business idea that makes a positive environmental impact, this is the category for you. Sure to be popular in this time of energy transition, your entry will need to be original to rise to the top. Open to B2B or B2C, it must have scalability and big potential to add value for society or users. Maybe you’ve developed a way to increase the use of clean energy, up energy efficiency or extend the life of energy assets, or maybe something that CleanTech hasn’t even touched on before. It’s an open door into a big CleanTech world.
Best EV Customer Solution
How can companies get more people using electric vehicles? How can the current infrastructure be improved? If you have the answer, look at this category of the Global EnergyTech Awards. Judges will be looking for innovations around charging, search, funding or facilities and only ideas that are extendable with strong commercial prospects. You’ll need to explain just how much it benefits drivers, how data is leveraged and the future prospects if you’re going to be crowned the winner.
Best Mobile Customer Experience 
Have you created a completely new app that will delight and engage the users? Then this is the category for you. Prove the originality and quality of your idea and explain how it will have an impact on the energy industry on your application and maybe the prize will be yours. Focus will be on interface design, accessibility, how it brings to life new data, content or functionality and how it ties in to and exemplifies the brand.
Best Solution in Energy Trading
Next generation systems, platforms and applications are keeping the world’s energy moving. For the Best Solution in Energy Trading, Publicis Sapient are seeking tech aimed at supply, trading, operations or risk management – a product that caters for an emerging need or complements/betters existing solutions. The winner must demonstrate automation, market efficiency, productivity, transparency, as well as creating a positive user experience and using digital in an innovative way.
Best Use of Data & Insights
This award is open to those using structured, unstructured and streaming data in an innovative way within the EnergyTech industry. Customer data, third-party data or...any data. For those startups in this area, enter via the online forms detailing how the data was generated, whether it was combined with data/its correlation to other data and how well your tool can extrapolate data and close any gaps. Plus, any results you’ve uncovered and what implications they have.
Best Smart Network Solution
This is your opportunity to showcase ay new products and technologies that will help energy networks (transmission and distribution) remain reliable, safe and efficient against the backdrop of changing customer preferences, the energy transition and society’s shift towards a low carbon economy. This award will recognize new, scalable solutions that have the potential to create sustainable benefits for energy customers, networks and the broader system.
Standout Performer
Publicis Sapient has also announced that from all entries, judges will select a ‘Standout Performer’ - one that deserves special recognition and will receive the same prizes as the other category winners.
Submissions are being accepted at www.globalenergytechawards.com until Thursday, Sept. 30, with selected entrants invited to present to the judging panel in October, before the announcements and award ceremony in November. Good luck.
","Friday, September 10, 2021, 6 AM MDT", 
Why Publicis Sapient Is Bringing Together The Best In The Energy Industry | Daily Oil Bulletin ,"
The Global EnergyTech Awards 2021 will not only celebrate the energy industry by rewarding startups and innovators in the space, but will facilitate introductions between winners and leading organizations and hopefully spark some powerful partnerships. But what led the consultancy to create this initiative?
Awards that empower the future of energy for everyone
In June, Publicis Sapient launched this unique awards program — The Global EnergyTech Awards. The focus is on the transformation and development of technology within the energy sector with entries open to startups, small businesses, developers and engineers across the world. The timing is spot on — the industry is going through significant change and the transition to a carbon zero future is underway, so there’s a lot of focus and demand in this area. Energy companies will increasingly have to partner with innovators in order to scale-up the skills and technology required to reach both their own and global net zero goals.
As a recognized leader of new technologies, Publicis Sapient want to bring the best ideas and talent together, leading the charge in this shift to a cleaner, greener world.
Joe Tabita, Energy Leader for EMEA and APAC at Publicis Sapient says, “These are exciting times in EnergyTech. The energy transition is driving new customer behaviors and expectations. Competition has jumped across business and geographical boundaries. There’s a huge opportunity for digital to be a core ingredient as the industry transforms how it produces, stores, trades and delivers energy.”
The Global EnergyTech Awards aim to embrace this opportunity and encourage the sharing and implementation of new ideas and technologies that will indeed transform the industry in years to come. Entries are open until the end of September, when judges from both Publicis Sapient and leading energy companies will select a short list of potential winners to present their ideas live to the panel. Winners will be announced and awards presented during a dual London/Houston ceremony in November.
Years in the making
The company at the helm is a well-respected powerhouse. For 30 years Publicis Sapient has been leading the way in digital business transformation within many industries, including energy. The consultancy is growing fast despite the economic downturn of 2020, with 53 offices across the globe from Calgary to London to Dubai. They’ve helped, and continue to help, some of the biggest names in the energy sector to make step changes towards a digital-first model as they move resources across the supply chain — all the way from generation, production and distribution to trading, supply and retail.
Publicis Sapient were originally known for energy and commodities trading. This is where the consultancy started out, disrupting a traditional industry with digital transformation and bringing it into the digital age by offering more choice when it comes to E/CTRM. This expertise is recognized in the Awards with a category dedicated to ‘Best Solution in Energy Trading’, which will hopefully shine light on new ways of working.
Now — and increasingly as we emerge from this crisis — identifying the most effective ways to reduce costs, improve operations and move faster to capture new opportunities will decide the future of energy trading organizations. Energy and commodities trading groups will therefore want to address customers and opportunities that have gained in strategic value as a result of these crises, and to leave markets that have been undermined by it. If they are to succeed, they have no choice but to transform themselves. Perhaps using the technology from winners of the Global EnergyTech Awards. The relatively slow progress of digital business transformation in this sector means that a major opportunity remains in play: removing low-value processes, which frees up the organization’s money and talent to focus on areas with the greatest potential for value creation. This allows more of the organization’s intellectual firepower to be used for activities where it can achieve a competitive edge. Too much of the upside of digitalization remains untapped. There is too little automation, too many data silos, too many in-house data centers and too many off-the-shelf IT packages with overlapping functionalities, and not enough consistency of process and technology across participants in the market.
Shaping the future of utilities
Another focus for Publicis Sapient’s energy team is digital utilities where the disruption of the energy market is in full swing. Today’s energy customer demands choice, affordability and trust. They expect providers to understand what they need. As some of the more established providers lag behind, more agile, digitally-driven players are emerging to turn up the heat and hopefully some will be entering the Global EnergyTech Awards to showcase their innovations.
The work of Publicis Sapient ensures that new or existing services are modernized in ways that enrich the life of the business or the end consumer, whether that’s more efficient business processes or smarter interfaces to warm the home.
Publicis Sapient are big enough to lead, but small enough to empathize, which is proved by the creation of the Global EnergyTech Awards — an exciting initiative that will bridge the gap between major energy organizations and the startups that will shape the industry of tomorrow. When the results are announced in November, there will be a curated list of the very best new minds in energy and we can’t wait to see it.
Learn how Publicis Sapient can help you add genuine business value and enhance your customer journey with digital transformation at www.publicissapient.com/energy-commodities.
","Thursday, September 9, 2021, 11:39 AM MDT", 
"Next Evolution Of Sanjel Spacer Line Targets Long, Complex Horizontal Wells | Daily Oil Bulletin ","
A spacer technology said to provide significant time savings for drilling operations has taken a major step forward.
This past June, Sanjel Energy Services was granted patents for its VISWEEP DM (dry mix) IS (invert systems). The spacer system that creates efficiencies through its mix-on-the-fly approach was developed at Sanjel Energy’s technical centre.
“The VISWEEP DM IS spacer system is the next evolution in our spacer family and another excellent example of our commitment to providing our clients with a broad range of innovative solutions,” said Murray Bickley, president and CEO of Sanjel Energy.
Spacer is a fluid that functions as a buffer between well fluids and cement slurry. This helps displace drilling fluid and gets the walls of the wellbore conditioned for cement bonding.


The photos above show the before and after of one of the tests that Sanjel does to test how effectively a spacer system can remove mud. The apparatus is immersed in oil based mud to coat it, then it is immersed in the spacer and turned on for a fixed period of time after which the apparatus is removed from the spacer to determine how effective the spacer was at removing the oil based mud.
The VISWEEP DM IS includes a rapid hydrating polymer mixed, weighting material, and pH modifiers to optimize the mixing process, says the company.
Aimed to improve cement bonding, the system uses powdered chemicals to convert oil-wet casing and formations to water-wet. 
This innovation is a particularly valuable asset for longer, complex wells in the Western Canada Sedimentary Basin, where horizontal sections are common.
While traditional methods have worked for standard vertical wells, when there are horizontal sections, drilling operations face an additional hurdle.
Previously, vertical wells typically reached 3,500 to 4,000 metres. Today, however, wells are commonly 2,500 metres with horizontal sections reaching up to 6,000 metres. This adds to the operation’s hole cleaning and mud displacement workload.
“Batching large spacer volumes may require additional tanks or units, which increases both complexity and the chance of contamination,” says Jeff Spence, Sanjel’s vice-president, operations and innovation, calling it a “labour-intensive process.”
“In the past, if you would hand-mix it, you’d give the operator your recipe, they’d go out to the location, have a series of buckets of and a series of bags of different chemicals and they’d put that all together,” he adds.
At an eight cubic metre volume, VISWEEP DM IS shortens this mixing process from nearly two hours to 15 minutes, says Sanjel.
This system was first used in November 2018 and since then has been used in more than 700 jobs. 
“The technology is really optimized around rapidly achieving properties,” Spence says. “What we wanted to be able to do was mix this on the fly so there are a bunch of efficiency gains for us and for our clients and be able to take a lot of the risk off the table.”
There are some indirect benefits to the environment, as well.
“The energy efficiency aspect of it comes from the amount of time that you’re saving out there,” says Spence. “You don’t have the rig and all the other support equipment sitting around for that 110 minutes of additional mixing time waiting for you to get ready with your spacer to go downhole.”
The emissions savings connected to shopping local supports the case for VISWEEP DM IS, as well.
“A lot of the conventional systems tend to use barite, and barite tends to be sourced out of Asia,” says Spence. “We use, for the most part, a locally-sourced weighting agent that comes out of Alberta.”
Sanjel will clamp down on carbon emissions even further with a new eco-blend line-up of cement.
The company says its new cement has 25 per cent less CO2 output than class G cement, which is standard in the oilfield, and 30 per cent less than the average cement used in Canada.
","Thursday, September 9, 2021, 12 AM MDT",Josh Skapin
Baker Hughes And C3 AI Deploy Enterprise AI At MEG Energy | Daily Oil Bulletin ,"
Baker Hughes and C3 AI deployed the BHC3 Production Optimization enterprise AI application at MEG Energy Corp. to improve operational efficiency, productivity, and to better visualize risk across the company’s upstream production operations.
“MEG Energy leverages innovative technology to reduce energy and water use, along with greenhouse gas intensity, while improving the efficiency and sustainability of thermal oil production. The adoption of BHC3's enterprise AI solutions will accelerate MEG Energy’s use of digital solutions to further improve the efficiency of steam-assisted gravity drainage (SAGD) production,” said Baker Hughes.
MEG Energy has worked with energy technology, data science, and AI experts at Baker Hughes and C3 AI to train, develop, and apply machine learning models and analytics using historical and real-time data.
The enterprise AI-based BHC3 Production Optimization application monitors moment-to-moment operations, allows seamless integration between engineers and field staff, and creates actionable predictive insights to enhance the daily operational workflow for production engineers and operators, with customized analytics-based alerts and virtual meters providing measurements for emulsion, gas, and vapor across more than 300 thermal production wells.
","Tuesday, September 14, 2021, 7:25 AM MDT", 
"2021 Top Operators Report: Back-Office Automation, Data Driven Decision-Making Is Driving Next Wave Of Operational Efficiency | Daily Oil Bulletin ","
Editor’s note: Last year, when assembling the 2020 Top Operators Report, the COVID-19 pandemic had shuttered the global economy. Oil demand had been reduced by over 20 million bbls/d and prices were at lows not seen in decades. 
The mood of the Canadian industry was grim. After five years of being rocked by wild price volatility the pandemic hit like a knockout punch. 
The 2021 Top Operators Report looks back at how Canada’s oil and gas leaders pivoted to meet the challenges of 2020, and how they are positioning their organizations for future success. 
Once again, we have tapped into the experience of professional services firm KPMG in Canada to provide insight into what strategies operators could pursue to thrive in the current environment. 
The report also features a broad swath of the insights and opinions from industry leaders gleaned from Daily Oil Bulletin coverage, along with commentary from data providers Evaluate Energy and CanOils.
Download the report here.

The COVID-19 pandemic put many oil and gas operators and oilfield service companies in survival mode.
But that doesn’t mean the push to find operational efficiencies through digital transformation slowed, said Narmin Vasanji, partner, Advisory Services, Management Consulting at KPMG in Canada.
“Working from home proved people could work in different locations. We saw more use of collaboration tools like Zoom and Teams. It forced people to think differently,” she said. “People were thinking of software as a service in the middle of the pandemic. A lot of companies were also looking at data warehouses and data lakes to improve analytics and insights for nimble decision-making.”
“Companies with the resources to weather the storm are now thinking about how to utilize technology and automate. They see it as a competitive advantage,” she added.
The advent of cloud computing is a key driver accelerating the digital transformation, said Vasanji. Larger companies are now accessing their enterprise resource planning (ERP) software over the cloud, providing greater flexibility and easier integration of new data sets. Consolidation in the industry is adding urgency to the shift.
“We’re seeing a lot of consolidation and we will see more consolidation. These all come with synergy targets, often 20-30 per cent in savings,” she said. “Companies need to merge systems and create one source of data truth. For the back office, they need to merge functions post integration, and that creates some challenges. On the operations side there is less impact to staffing but companies always need to get efficiencies out of the transaction.”
“There’s ample opportunity to become more efficient,” she added, highlighting automation in the back office as one often over-looked area. “During the cycle when commodity prices ramp up, companies don’t focus on back office costs. Then there’s a downturn and they layoff employees, leaving those left at the company to perform the jobs of many. The inefficiencies remain.”
Automating repetitive processes is one opportunity, said Vasanji. “Financial processes are a good area to find efficiencies such as invoice automation or automating time sheets from workers in remote locations. This creates capacity for finance teams to focus on forecasting and analysis to help operations make better decisions.”
Even greater opportunities exist through the use of data analytics, said Vasanji. By applying predictive analytics or visualization tools to data, companies can begin to look forward and improve decision-making. For example, basic spend analysis throughout the supply chain to better understand where money is going, to process mining tools that enable visualization of processes to address issues and take action.
Technical data used by geologists, engineers and other disciplines to inform decision-making is also evolving, said Terry Jbeili, geoLOGIC systems ltd. president and chief operating officer. geoLOGIC recently partnered with the Daily Oil Bulletin to survey industry professionals on data usage in current work flows and to identify areas of improvement. The survey results were released in a white paper.
“What we learned is there is a need for technical disciplines within organizations to have easier access to multiple data sets and advanced visualization tools to drive efficiencies,” said Jbeili. “Operational efficiency ranked as the number one reason for using data by the respondents. Other major use cases included project planning and business development (M&A).”
With funds for capital investment in limited supply, Jbeili said having accurate, comparable data and interactive visualization tools to help target spending towards the highest return assets is essential.
“There is an extremely complex interrelationship between reservoir geology, rock characteristics and how different technologies applied during the process of field development interact with the reservoir and affect performance,” said Jbeili. “How well asset teams understand the reservoir and make relevant engineering and technology choices has a major impact on asset value. This requires the ability to validate and integrate numerous data sets and to be able to understand how shifting different variables impacts overall productivity.”
The vast majority of survey respondents reported challenges in integrating different data sets into their workflows. Data silos continue to be a challenge that needs to be addressed, he added.
There is also increasing demand by other technical disciplines to access existing and new data sets, said Jbeili. One example of this is the need for data for environmental disclosures related to ESG reporting. Accessing the needed data sets and visualization tools through cloud computing could help “democratize” data and improve decision-making throughout organizations.
“Cloud computing provides flexibility for lighter data users within large companies who may only use a handful of data sets in their regular workflows,” said Jbeili, adding that in smaller companies it could provide access to data for all disciplines at a lower cost due to not needing to maintain legacy systems.
Forty per cent of survey respondents said their data is cloud-based. Among this number, some companies have totally moved to the cloud, while others are running hybrid systems with some data cloud-based and some hosted internally.
Companies that have migrated data and intelligence tools to the cloud say it provides improved security and lowers costs. Savings are being driven by the reliability of cloud computing, with less downtime experienced by users due to the automation of many processes and with data updates and software updates completed without outages.
Other key benefits to cloud computing cited by survey respondents include scalability, accessibility, flexibility, data and intelligence sharing, and collaboration opportunities — benefits which will only expand as more data sources drive companies’ broadening spectrum of energy intelligence applications, analytics and workflows as well as their need to integrate and report on these data and insights.
It’s not just large companies that can benefit from the digital transformation, Vasanji added. Around one-third of small- and mid-size companies are looking to automate to get rid of paper or are moving to the cloud.
“Everything is scalable,” she said. “There is ERP software for differing sizes of clients, and some are more affordable for smaller companies.”
Download the report here.
","Friday, August 20, 2021, 6 AM MDT",Darrell Stonehouse
People The Key To Success Of Digital Transformation In Oil And Gas | Daily Oil Bulletin ,"
While digital transformation offers significant opportunities for companies, it’s less about technology than how it’s used and ultimately is all about the people involved, a Petroleum Technology Alliance Canada (PTAC) virtual session heard recently.
“Because innovation is about people, then it's very important to get the people part right, the skills, the culture change and managing that journey,” said Andrea Cherkas, managing director of ClearPath Business, which provides strategic advisory services, most recently focused on digital transformation.
Digital transformation, she said, is simply thinking about how to improve business performance using digital technology, targeting areas such as improving efficiency, productivity, netbacks, cost structure and generating greater return on investment. “Then what we have found is companies move into the opportunity to actually reimagine business processes and models, fundamentally doing things differently.”
Digital transformation is accelerating and it comes down to value creation, creating an opportunity for multiples in value creation, not just incremental improvements, thanks to the significant gains in computing power and data generation, said Cherkas. 
One example of value creation in the Canadian oil and gas industry was the use for the first time of machine learning, using operating history and expertise along with eight years of data to find correlations and make recommendations on extending the run life of a downhole pump. Based on that information, the company was able to extend the run life by nearly 25 per cent with a return on investment of four times, she said.
 Robotic process automation (RPA), basically software (bot) that mimics the actions of a human on a computer in terms of efficiency, is another example of digital innovation, said Cherkas. It helps to automate processes where there are elements of work in which persons might simply be moving data from one system to another, doing uploads and downloads or checking banks of data for outliers. “If there's a workflow that reflects this type of criteria, then it's a candidate for robotic process automation,” she said.
In one case, a ClearPath client identified processes that meet the criteria, mapped the processes and then proceeded to program the bot to upload data and balancing, a monthly process for oil and gas producers. The use of RPA resulted in a 20-fold gain in efficiency, the session heard.
Although digital transformation has risk that needs to be managed, that risk is manageable, said Cherkas. “There are opportunities to utilize and to tap into many different frameworks, tools and processes in order to get your arms around the risk.” For example, companies should make sure they are making decisions in an incremental process as opposed to making “grand big decisions.”
Recognizing the need for companies to develop skills in digital transformation, ClearPath also is working closely with SAIT, which is offering digital business programs that are designed for executive leadership and team leads. “Digital business acumen is imperative and it’s needed to guide and exploit digital shifts as well as adapt the organization accordingly,” she emphasized.
SAIT digital business programs
In SAIT’s digital business programs, industry experts not only develop the content and curriculum but also teach the courses, promoting a new model for innovation and learning, and creating strategic value from digital technology, said Katyryna Gaudet, manager of corporate training at SAIT. “Everything is directly linked to creating value for your business.”
The programs are adaptable to organizational and business models to create tangible value while the learning is relevant and aligns teams for strategic and tactical impact, she said.
“Companies around the world are pouring millions into digital transformation initiatives and a high percentage of those fail,” according to Gaudet. “And that's because companies have put the cart before the horse focusing on specific technologies, rather than starting with fitting the change into their overall business strategy.”
Digital transformation has worked for organizations where their leaders went back to the fundamentals, the session heard. “They're focused on changing the mindset of its employees, as well as the organizational culture and processes before they decide what digital tools and how to use them,” she said. “What the employees envision to be the future of the organization is what drives the technology and not the other way around.”
Gaudet agreed with Cherkas that digital transformation is about people. “And it's the people who will either enable or block the technology,” she said. “So we really look at focusing on that cultural and mindset shift, to leverage technology to meet our changing business, and marketing customer requirements.”
The SAIT program was launched with a $30 million donation from Calgarian David Bissett, who believed that SAIT had the flexibility to respond to the changing needs of industry, she said. Opportunity Calgary also kick-started a fund and invested $8 million over the next five years with a shared commitment to build Calgary's tech talent ecosystem, and the funding of the digital talent hub.
 
","Monday, July 19, 2021, 8:40 AM MDT",Elsie Ross
COSIA Releases Reports Showcasing The Latest In Environmental Research | Daily Oil Bulletin ,"
Canada’s Oil Sands Innovation Alliance (COSIA) released a suite of research reports summarizing 100 research projects related to the areas of land, water and tailings.
The reports highlight research essential to advancing cleantech in the oilsands.
There are four research reports in total — one focused on water, one focused on tailings, with two reports focused on land related to in situ and mining operations, respectively. The research reports, published on COSIA’s website, are available to the public and, in particular, academics and innovators working in the space of environmental innovation.
The reports summarize a variety of oilsands environmental research projects and findings. The land research reports summarize knowledge related to areas such as soils and reclamation materials, revegetation and environmental research and monitoring. A focus for in situ operations is seismic footprint reduction with several research projects underway to explore different technologies that can minimize land disturbance.
“COSIA members work to advance a range of different innovations around land management projects, like the competition we launched earlier this year seeking technologies that reduce the impact of oilsands seismic activities. The initiative is part of our multi-year woodland caribou research and conservation efforts,” said Jack O’Neill, COSIA’s director, land.
The water research report features projects that support minimizing impacts from oilsands mining operations on the Athabasca River watershed. There are 11 active projects around water treatment, one of which looks at SolarPass, a novel technology developed by H2nanO, a start-up company based in Ontario. The technology uses titanium-dioxide nanoparticles and sunlight to treat dissolved organics in oil sands process water.
John Brogly, COSIA’s director, water added: “A key area of focus in our research is pit lakes. In fact, pit lakes planned for the oilsands mining sector are the most thoroughly researched pit lakes on earth with testing done on different scales, ranging from the size of a small swimming pool to an area of eight square kilometres.”
The tailings research report highlights recent progress and work in tailings management — from literature reviews and laboratory projects to large demonstration and commercialization programs. One of the research projects, nicknamed “Bugs and Veggies” is an outdoor growing trial aimed to determine if combining bacterial communities with native plant species might result in technology that enhances the ability of plants to remove water from tailings.
 “Our members are actively developing new and improved technology to mitigate the accumulation of fluid tailings — fine particles in tailings ponds. The goal is to reduce the time frame required to achieve a reclaimed landscape,” said Lucas Barr, COSIA’s director, tailings.
","Wednesday, August 18, 2021, 10:40 AM MDT", 
Cenovus In Consortium For Acceleware’s Marwayne RF XL Pilot | Daily Oil Bulletin ,"
Oilsands tech developer Acceleware Ltd. announced that Cenovus Energy Inc. has joined the commercial-scale RF XL pilot project at Marwayne as a consortium member.
Cenovus will provide funding of up to $2 million and technical expertise in support of the pilot under the terms of an agreement with Acceleware.
In exchange for the funding, Cenovus will be able to provide input into pilot designs and test specifications prior to completion, and will receive, along with the other pilot participants, exclusive access to the full set of detailed technical data and test results for one year following completion of the pilot.
Acceleware has granted Cenovus prioritized rights to host a subsequent test of Acceleware’s RF XL technology, preferred pricing on pre-commercial products, and preferred access to RF XL products over operators who do not participate in the Pilot.
“Getting to a low-carbon energy future is complex and will require a multitude of solutions, a realization that this will be a transition over time, and a lot of players who are willing to actively participate. We are very pleased that Cenovus is coming on board as a third major oilsands partner in our Marwayne RF XL commercial pilot — particularly in light of their participation in the recently announced Oil Sands Pathways to Net Zero collaborative initiative,” said Geoff Clark, CEO of Acceleware. “While carbon capture technologies are a terrific and necessary innovation, it’s heartening to also see support for commercialization efforts for next generation technologies such as ours — one that is capable of near zero scope 1 and 2 GHG emissions.”
Acceleware has moved further into the execution phase of the pilot. With the Marwayne site cleared in early 2021, barring unforeseen delays, construction at the site is scheduled to be complete in Q3 2021, with power up and heating following shortly thereafter. While the initial heating phase is planned for approximately six months, this period may be extended to allow Acceleware to capture additional information on the efficiency and operation of the technology.
Cenovus joins two other major oilsands companies (one being Suncor Energy Inc.) who have each agreed to provide technical assistance and up to $2 million in funding for the pilot.
In aggregate, Acceleware’s oilsands partners represent well over one million bbls of oilsands and heavy oil production per day. Acceleware has also received commitments for a total of $15.5 million in funding from Sustainable Development Technology Canada (SDTC), Emissions Reduction Alberta (ERA), and Alberta Innovates.
","Friday, July 9, 2021, 6:07 AM MDT", 
ESG Matters For OFS During Q1 2021; Companies Take Measures To Lower Emissions | Daily Oil Bulletin ,"
Environmental, social and governance (ESG) remained an important topic for multiple oilfield services companies in their recent Q1 2021 results and conference calls.
Trican Well Services Ltd., for example, discussed its plans to release a sustainability report later this year — hopefully this summer.
“It would be something that we would view as part of our corporate strategy,” Bradley Fedora, president and chief executive officer, said during his company’s Q1 conference call. “A subsector of our corporate strategy would be our ESG strategy. The amount of time and effort we’re spending on that is going to grow, we would anticipate.”
He added: “We’re anticipating we’ll have an annual report out that will have targets, and what we do to meet those targets would be published annually, just like you’ve seen with the larger companies.”
Accessing highline power for its equipment is something Ensign Energy Services Inc. has been doing more and more regularly, Bob Geddes, president and chief operating officer, told his OFS firm’s annual general meeting, with crews tying rigs into grids and even mini grids as the company helps its clients reduce the emissions associated with energy production, maintaining a strong ESG focus.
“Everything we do is with the highest regard for the environment, the safety of our people, and good governance,” he said, adding for many years Ensign has used alternative fuels to power its rigs — notably in the form of natural gas. “[In] a lot of areas we’ve been running produced gas from the areas to run the rigs, which is very emissions-friendly at about half the emissions per barrel of oil produced on the drilling side.”
During this year’s first quarter, Gibson Energy Inc. established expanded sustainability and ESG targets focused on reducing emissions, increasing diversity and inclusion, health and safety, as well as community impact as the near-term priorities, with an overarching goal of being a sustainability and ESG leader relative to its peers.
“We took a major step forward during the quarter by setting ESG and sustainability targets,” Steve Spaulding, president and CEO, told the company’s Q1 conference call. “We put a lot of thought into making sure these targets were impactful to Gibson, and that they were ambitious-yet-achievable.
“On the emissions front, we believe our carbon footprint is best-in-class in the Canadian midstream space on both an emissions-per-revenue basis, and a per-barrel throughput basis. We build on this by reducing our GHG intensity at our facilities by 30 per cent by 2025 and 40 per cent by 2030. We will cut our Scope-2 emissions in half by 2025, and eliminate them entirely by 2030. Importantly, we know how to achieve these targets.”
Precision Drilling Corporation’s ESG-related initiatives produced “encouraging results” during the quarter, most notably on efforts to progress emissions-reduction alternatives for customers.
“This includes formalizing partnerships with green energy providers to expand our offering of hybrid battery energy storage systems, bi-fuel systems and natural gas rig power systems,” said Kevin Neveu, president and CEO. “We are also piloting a GHG monitoring system, which will provide our customers with real-time insights to establish performance baselines and drive continued improvement through the entire operation.”
Meanwhile Total Energy Services Inc. has included continued upgrades of the drilling rig fleet with biofuel and walking systems, which reduces the emissions intensity of the drilling operations, within its 2021 spending plans. Well servicing, as well as the rentals and transportation services segment, are becoming increasingly involved in restoration of old oil and gas well sites to their pre-disturbance condition.
“We also established a partnership with the Aboriginal Skilled Workers Association in order to increase the effectiveness of our Indigenous recruiting efforts,” Daniel Halyk, president and CEO, told his firm’s Q1 conference call. “Apart from dealing with potential future labour shortages, we strongly believe that increased engagement of Indigenous persons in the energy industry is beneficial to all stakeholders.”
 
","Monday, May 31, 2021, 12 AM MDT",Carter Haydu
Shell Shareholders Increase Pressure For Further Climate Action | Daily Oil Bulletin ,"
(Reuters) — Royal Dutch Shell plc shareholders overwhelmingly backed the company's energy transition strategy on Tuesday, but increased support for a second climate resolution filed by an activist group pointed to growing pressure to tackle climate change.
A non-binding resolution submitted by Shell with the support of a large group of investors to vote on its recently unveiled climate strategy won 88.74 per cent shareholder support at its annual general meeting (AGM) which was held online.
The plan, announced in February, aims to reduce planet-warming carbon emissions to net zero by 2050 by slowly reducing oil and gas output, growing its renewables and low-carbon business and offsetting emissions through carbon capturing technologies and measures such as forestation.
Shell CEO Ben Van Beurden said at the AGM that the strategy, which will be updated every three years, was ""comprehensive... rigorous and... ambitious.""
Shell plans to grow its investment in low-carbon in the coming years, but at least 75 per cent of its spending will continue to go towards oil and gas.
Absolute reduction
A second resolution filed by activist group Follow This urging the Anglo-Dutch company to set ""inspirational"" targets to battle greenhouse gas emissions, was rejected by 69.53 per cent of the votes, according to a tally of most votes.
Still, the nearly one-third of votes supporting the resolution, which Shell's board urged shareholders to reject, is a sharp increase from last year's vote where a similar resolution won 14.4 per cent support.
Several investors, proxy advisories and activist groups including Follow This have criticized Shell for setting intensity-based carbon reduction targets, which allow Shell in theory to grow its emissions, rather than absolute reduction targets.
Van Beurden, however, said setting absolute reduction targets would mean Shell will have to unwind its oil and gas business, which would be replaced by other producers.
Follow This director Mark van Baal told Reuters the vote ""tells the board that investors don't accept long-term targets without short and medium-term targets. You need to decrease emissions dramatically and shift investments dramatically in the next decade.""
In a statement following the vote, the Church of England Pension Board, which led the investor talks with Shell on its strategy, welcomed the support for the plan and urged Shell to set short and medium-term targets to reduce emissions in absolute terms.
Adam Matthews, director of ethics & engagement for the Church of England Pensions Board said at the AGM that if Shell doesn't meet its 2023 targets the fund would divest its stake in Shell.
Last week, BP plc investors rejected a Follow This resolution demanding tougher emission reduction targets, which nevertheless was supported by 20.6 per cent of votes.
","Wednesday, May 19, 2021, 7:50 AM MDT", 
